DatePosition,Date
1,7/1/2015
2,7/2/2015
3,7/3/2015
4,7/4/2015
5,7/5/2015
6,7/6/2015
7,7/7/2015
8,7/8/2015
9,7/9/2015
10,7/10/2015
11,7/11/2015
12,7/12/2015
13,7/13/2015
14,7/14/2015
15,7/15/2015
16,7/16/2015
17,7/17/2015
18,7/18/2015
19,7/19/2015
20,7/20/2015
21,7/21/2015
22,7/22/2015
23,7/23/2015
24,7/24/2015
25,7/25/2015
26,7/26/2015
27,7/27/2015
28,7/28/2015
29,7/29/2015
30,7/30/2015
31,7/31/2015
32,8/1/2015
33,8/2/2015
34,8/3/2015
35,8/4/2015
36,8/5/2015
37,8/6/2015
38,8/7/2015
39,8/8/2015
40,8/9/2015
41,8/10/2015
42,8/11/2015
43,8/12/2015
44,8/13/2015
45,8/14/2015
46,8/15/2015
47,8/16/2015
48,8/17/2015
49,8/18/2015
50,8/19/2015
51,8/20/2015
52,8/21/2015
53,8/22/2015
54,8/23/2015
55,8/24/2015
56,8/25/2015
57,8/26/2015
58,8/27/2015
59,8/28/2015
60,8/29/2015
61,8/30/2015
62,8/31/2015
63,9/1/2015
64,9/2/2015
65,9/3/2015
66,9/4/2015
67,9/5/2015
68,9/6/2015
69,9/7/2015
70,9/8/2015
71,9/9/2015
72,9/10/2015
73,9/11/2015
74,9/12/2015
75,9/13/2015
76,9/14/2015
77,9/15/2015
78,9/16/2015
79,9/17/2015
80,9/18/2015
81,9/19/2015
82,9/20/2015
83,9/21/2015
84,9/22/2015
85,9/23/2015
86,9/24/2015
87,9/25/2015
88,9/26/2015
89,9/27/2015
90,9/28/2015
91,9/29/2015
92,9/30/2015
93,10/1/2015
94,10/2/2015
95,10/3/2015
96,10/4/2015
97,10/5/2015
98,10/6/2015
99,10/7/2015
100,10/8/2015
101,10/9/2015
102,10/10/2015
103,10/11/2015
104,10/12/2015
105,10/13/2015
106,10/14/2015
107,10/15/2015
108,10/16/2015
109,10/17/2015
110,10/18/2015
111,10/19/2015
112,10/20/2015
113,10/21/2015
114,10/22/2015
115,10/23/2015
116,10/24/2015
117,10/25/2015
118,10/26/2015
119,10/27/2015
120,10/28/2015
121,10/29/2015
122,10/30/2015
123,10/31/2015
124,11/1/2015
125,11/2/2015
126,11/3/2015
127,11/4/2015
128,11/5/2015
129,11/6/2015
130,11/7/2015
131,11/8/2015
132,11/9/2015
133,11/10/2015
134,11/11/2015
135,11/12/2015
136,11/13/2015
137,11/14/2015
138,11/15/2015
139,11/16/2015
140,11/17/2015
141,11/18/2015
142,11/19/2015
143,11/20/2015
144,11/21/2015
145,11/22/2015
146,11/23/2015
147,11/24/2015
148,11/25/2015
149,11/26/2015
150,11/27/2015
151,11/28/2015
152,11/29/2015
153,11/30/2015
154,12/1/2015
155,12/2/2015
156,12/3/2015
157,12/4/2015
158,12/5/2015
159,12/6/2015
160,12/7/2015
161,12/8/2015
162,12/9/2015
163,12/10/2015
164,12/11/2015
165,12/12/2015
166,12/13/2015
167,12/14/2015
168,12/15/2015
169,12/16/2015
170,12/17/2015
171,12/18/2015
172,12/19/2015
173,12/20/2015
174,12/21/2015
175,12/22/2015
176,12/23/2015
177,12/24/2015
178,12/25/2015
179,12/26/2015
180,12/27/2015
181,12/28/2015
182,12/29/2015
183,12/30/2015
184,12/31/2015
185,1/1/2016
186,1/2/2016
187,1/3/2016
188,1/4/2016
189,1/5/2016
190,1/6/2016
191,1/7/2016
192,1/8/2016
193,1/9/2016
194,1/10/2016
195,1/11/2016
196,1/12/2016
197,1/13/2016
198,1/14/2016
199,1/15/2016
